tariff_fraction,total
3824.99.99,4657
8302.10.90,4634
8418.50.00,4633
4908.90.00,4619
8511.10.00,4617
9603.29.00,4604
6402.91.92,4601
8487.90.10,4597
8301.20.00,4595
4202.19.00,4573
8421.99.00,4569
8211.92.90,4567
7009.92.90,4561
4823.69.90,4553
7610.10.20,4528
8413.70.90,4513
8415.90.10,4509
8214.20.00,4507
2004.10.00,4504
6115.99.00,4498
6201.93.00,4498
8472.90.90,4479
9404.29.00,4460
8708.94.90,4459
6913.90.00,4450
4820.20.90,4406
6204.44.10,4405
4202.99.10,4405
9403.70.99,4395
3924.10.20,4392
3304.99.90,4391
8205.40.00,4380
8483.60.00,4353
3303.00.19,4335
6212.20.00,4326
6203.41.11,4324
6204.52.90,4319
6405.90.00,4313
3405.40.00,4308
6211.12.00,4299
6107.11.00,4297
4818.30.10,4285
4818.20.20,4281
9026.10.00,4264
8467.29.00,4264
3406.00.90,4247
8301.70.00,4237
2103.90.21,4233
8508.60.90,4205
6306.22.00,4202
3304.91.90,4187
3004.90.10,4180
3926.20.30,4144
3402.20.30,4144
8418.30.19,4139
8213.00.90,4134
8438.90.00,4134
8421.29.00,4132
7013.99.90,4117
9615.90.90,4117
8443.31.00,4112
8711.20.10,4107
4819.10.00,4106
2103.20.91,4094
6112.41.00,4071
8302.41.90,4067
6103.49.00,4044
8539.10.00,4044
8207.90.00,4043
2005.20.10,4030
3209.10.19,4023
6202.19.00,4012
6203.42.24,4008
8450.90.00,3992
2202.90.90,3984
7013.28.00,3984
8527.91.90,3974
4902.90.29,3973
7013.37.90,3966
6403.99.97,3963
9403.50.00,3963
6402.99.92,3957
3105.20.00,3955
7320.90.00,3942
8414.40.00,3936
4202.31.90,3935
4201.00.00,3930
3922.20.00,3930
1904.90.90,3929
3924.10.30,3926
6402.99.31,3926
8431.31.00,3906
6402.99.96,3906
6204.43.29,3906
6204.52.20,3899
8703.21.91,3884
8609.00.90,3883
6205.20.29,3872
8309.90.30,3872
3402.90.21,3862
9609.10.90,3859
9401.71.90,3859
7117.90.49,3853
7307.99.00,3824
4823.90.99,3788
6201.19.00,3781
