tariff_fraction,total
6203.49.25,970
3917.22.90,969
4820.30.90,969
9018.31.90,969
0813.50.00,967
2106.10.00,967
4016.91.90,965
6404.19.95,965
8442.50.00,964
3906.90.00,962
3918.10.90,961
9032.90.00,958
2009.89.92,958
6204.61.00,957
8527.29.90,956
8443.99.50,955
1104.12.00,951
3004.32.10,951
8471.41.90,951
2005.51.20,949
8528.71.90,949
8205.10.00,948
3920.51.90,948
9603.90.69,948
6204.59.30,944
8483.50.00,944
4419.90.90,944
3926.20.21,941
5607.41.00,940
0710.90.00,939
4820.30.20,937
4819.20.10,936
8479.89.10,935
7323.93.00,935
8504.31.00,934
4811.60.90,932
9003.11.00,931
7009.91.90,929
8528.62.90,929
9031.80.90,929
4203.21.10,927
9701.10.10,927
8544.49.19,926
8305.90.10,925
6504.00.90,924
7307.22.00,924
9701.10.20,922
4821.90.10,921
8506.80.19,919
4202.92.40,918
9032.20.90,918
8422.30.90,917
6208.22.00,917
4414.00.00,916
8473.40.00,915
1904.10.29,915
4819.50.90,913
8311.90.00,913
8202.99.00,912
6809.11.00,908
4407.11.90,908
3920.43.00,907
0804.40.00,907
2104.10.22,903
8535.10.00,903
8546.90.00,901
4009.22.00,900
6209.90.00,900
9609.90.90,898
6303.19.90,898
6204.22.19,897
8466.94.00,896
9506.59.00,894
9612.10.90,893
8450.19.90,891
9018.32.00,890
8428.10.00,888
8713.90.00,888
0901.21.00,887
8423.81.00,886
8544.42.20,886
8425.49.00,886
8527.13.90,884
7016.90.00,883
0603.14.00,883
1601.00.19,882
8526.91.00,881
8205.30.00,881
8516.60.90,880
2715.00.13,880
3923.10.10,879
1101.00.00,878
7604.10.21,878
1515.29.00,877
6306.29.90,876
4203.10.90,874
7315.11.00,874
8531.20.00,874
7609.00.00,873
3922.10.90,873
9405.40.50,873
8307.10.00,872
7114.19.00,871
3208.10.29,870
1601.00.99,869
6208.11.10,869
2005.40.00,868
8408.90.00,868
4819.30.19,868
8306.21.00,867
8504.10.00,867
1601.00.29,866
3406.00.10,865
4420.90.99,865
1702.90.90,864
8301.40.20,864
6401.99.90,863
9504.90.39,863
8202.39.90,862
6302.22.00,860
7307.19.00,859
0603.19.80,859
8519.81.19,859
9506.70.00,858
4016.10.10,857
8466.93.00,857
9029.10.90,856
5906.10.00,856
0811.10.00,854
0408.99.00,854
3916.90.90,853
6304.93.90,852
8708.91.10,851
6108.99.00,849
9506.32.00,848
2715.00.12,846
8302.41.30,844
6704.90.00,843
6402.91.95,842
4016.92.90,841
8471.49.90,840
7326.20.10,837
6401.10.90,837
8539.31.20,837
6302.60.10,833
6301.30.00,832
7306.30.19,831
6204.29.26,830
9506.99.91,829
6207.99.90,828
9405.30.00,828
8502.12.00,828
8508.70.90,828
8542.32.19,827
4412.39.90,824
8212.10.10,822
1207.99.90,821
2804.40.00,821
2106.90.17,820
9619.00.29,820
4820.10.39,820
0701.90.00,818
8532.29.00,817
8302.60.00,816
6110.20.10,816
0304.41.00,815
6504.00.10,815
3819.00.00,813
4202.92.22,812
3920.20.10,811
8413.82.00,811
8302.10.10,809
8479.82.90,809
6203.32.90,809
5903.90.90,807
6103.33.00,807
8304.00.00,807
1604.20.91,806
8201.60.00,805
6204.22.24,804
3401.19.10,803
9015.80.90,802
8215.10.00,801
3402.20.29,801
0808.30.00,800
3921.19.90,798
0811.90.29,797
4202.31.19,797
9609.90.10,796
8531.80.20,795
8470.50.00,795
3307.90.40,795
8425.19.90,795
5703.20.90,794
2103.90.31,793
6403.40.20,793
0401.50.20,791
8703.24.20,791
6213.20.00,791
7607.11.90,789
8451.90.00,786
2204.29.00,786
8205.20.19,786
8536.30.10,785
7318.14.00,784
6804.21.00,784
6403.51.70,784
6101.90.10,782
3402.90.90,782
9504.40.90,780
7214.20.10,780
7616.10.90,779
4010.19.10,779
8703.10.10,778
8711.30.00,777
6506.99.20,777
9401.20.30,775
8703.21.92,775
4806.20.90,774
2104.10.24,772
5911.90.90,771
8523.49.31,771
7013.41.00,770
0403.10.21,770
2009.71.00,769
8309.90.90,769
7326.19.00,768
6403.99.93,767
6212.90.10,766
8481.20.10,766
8716.80.10,765
8518.10.10,763
2001.90.49,763
8213.00.10,763
7608.20.90,763
8505.90.90,763
7325.99.90,761
6204.29.24,760
1604.14.10,760
8412.29.00,759
2309.10.90,757
8203.10.10,756
6403.20.00,754
6815.99.00,754
6302.31.60,752
4911.91.11,752
2009.19.10,751
6403.91.95,751
2208.90.11,750
3004.50.10,749
8412.31.00,749
9505.10.10,748
4814.90.90,748
9027.80.10,747
4803.00.90,747
4820.90.90,747
9616.20.00,745
6303.12.00,744
8502.11.00,743
8201.40.10,743
9205.90.90,742
9018.39.00,740
6112.39.00,739
7010.90.22,739
6108.29.20,739
4202.92.23,738
9021.29.00,738
9503.00.30,738
8523.49.29,736
6110.90.90,731
4402.90.00,728
6104.33.00,725
9015.30.00,724
0706.10.00,723
4011.50.00,723
8528.69.90,723
8207.40.00,723
6809.90.10,722
7013.91.00,722
9030.89.00,721
3301.90.20,720
3002.10.90,720
8501.52.00,720
6205.30.11,719
3307.90.20,718
3307.41.00,717
6302.31.30,716
2008.97.90,716
9403.70.91,716
2003.10.00,716
0206.29.00,716
9209.99.10,715
7311.00.90,713
9006.53.90,713
7606.12.90,712
2523.29.00,711
8536.20.10,711
1102.90.90,711
8422.11.00,709
8703.21.20,708
8703.22.93,707
6204.42.21,706
6402.91.97,703
8214.90.00,703
0902.10.00,703
4820.30.10,703
4011.90.90,702
8704.31.10,700
9101.99.00,700
6203.41.21,698
4421.90.99,698
8479.10.00,698
9403.20.91,697
7306.30.90,697
3004.10.10,697
8708.92.20,697
6704.11.00,696
6112.31.00,694
6107.12.00,693
6506.91.10,693
9107.00.00,691
6402.99.95,691
9031.49.90,691
8515.80.00,690
8438.50.00,689
2008.20.00,688
2106.90.13,688
8471.49.10,686
8441.90.00,684
7309.00.90,684
8427.10.00,684
6216.00.10,683
8510.30.00,682
8703.32.93,681
1514.19.00,681
0603.19.92,681
4811.41.10,680
6203.23.00,680
6204.41.10,679
8519.81.90,677
7612.90.99,676
7314.20.90,675
4016.95.90,674
2008.19.12,674
3003.90.92,673
5702.99.99,673
0710.21.00,672
9207.10.00,668
8203.30.00,668
9101.29.00,667
8201.90.90,667
6204.44.29,667
0603.15.00,667
6108.39.00,666
7306.90.00,666
2004.90.21,665
0810.20.00,664
8311.10.90,664
9018.12.00,663
8609.00.19,663
6403.99.91,663
4911.10.20,663
7117.11.00,662
7610.90.99,660
9405.20.10,660
6211.39.90,659
8523.80.52,659
8479.60.00,658
3923.10.20,658
8534.00.00,657
1601.00.11,657
8523.59.10,656
8506.50.19,656
2104.10.11,655
2104.10.92,654
4602.90.00,653
6204.13.10,653
8539.22.90,652
0210.19.21,650
8607.99.00,650
3917.33.90,649
8526.10.00,649
4009.11.10,649
3703.90.00,648
8509.80.19,647
6203.19.00,646
3923.90.29,646
3917.10.10,646
8429.52.00,645
9101.19.90,645
8523.51.90,645
9013.80.20,644
8422.40.90,644
9106.10.00,644
3920.59.90,643
8201.50.00,643
6112.20.00,643
9701.90.20,642
6203.43.24,642
6810.19.00,642
2005.20.90,641
3306.20.00,641
3302.90.90,640
6304.19.00,640
0409.00.00,640
9025.11.00,640
9010.60.00,640
8468.90.00,638
4602.19.00,638
8443.19.00,635
9504.40.10,634
6403.91.91,634
9405.10.51,633
6404.20.94,633
1513.19.00,633
0713.40.00,633
5806.32.90,632
7607.19.10,632
2005.59.00,632
8466.92.00,628
8201.30.90,628
8301.30.00,627
2844.40.00,626
6102.90.00,626
1209.91.00,625
6307.90.21,624
8528.52.29,624
6805.10.00,624
9013.80.90,623
8211.10.90,623
8430.61.00,623
8501.32.00,623
8516.60.10,622
8542.32.20,621
7313.00.20,621
0202.20.00,620
9021.21.00,620
5806.39.00,619
3208.20.29,619
2001.90.10,617
6107.22.00,616
3910.00.00,615
9404.21.00,614
2106.90.14,614
7013.99.11,612
0813.40.00,611
8308.90.00,611
8428.39.00,611
7319.90.10,611
8547.90.90,611
4016.95.20,610
9031.49.10,609
4015.90.90,608
3402.20.90,608
6801.00.00,608
9504.20.90,607
2309.90.92,606
2009.50.00,606
8482.40.00,605
7018.90.00,605
4802.56.30,605
8482.30.00,604
9030.40.00,603
6116.93.00,602
0603.19.50,602
3917.21.90,601
5407.52.00,601
6601.99.90,600
2007.10.00,600
6506.10.00,599
6403.51.50,599
2104.10.19,599
1102.20.10,598
4013.20.00,598
8705.90.00,597
0802.12.00,597
9209.92.00,596
0709.70.00,596
1008.50.00,595
7117.90.20,595
4911.91.19,595
0709.51.00,594
8510.20.90,594
7306.61.00,592
4011.80.99,591
1511.90.90,590
9101.21.00,590
8307.90.00,589
1605.29.00,589
8429.51.00,588
4016.99.10,588
3811.29.00,587
4821.10.10,587
4817.30.00,586
0210.99.29,586
8438.80.00,586
9202.90.10,585
2009.89.91,585
9613.80.90,585
8539.31.90,584
1704.90.40,584
3305.30.00,583
8539.49.00,583
6404.20.10,583
9401.10.90,582
9406.90.90,582
9027.50.00,580
6404.19.22,580
4016.95.10,577
8208.30.00,577
9405.40.20,576
8528.59.29,575
0210.12.00,575
0710.80.96,575
9705.00.00,575
3918.10.20,574
0703.20.00,574
8529.10.10,573
0406.20.20,571
8467.11.00,571
4011.80.19,571
7604.21.00,571
8305.90.90,571
2005.99.40,570
5609.00.30,570
3920.71.90,570
8301.40.10,570
6104.43.20,569
3921.19.10,569
9603.10.00,569
8536.50.10,569
0805.50.10,568
8302.50.90,568
9028.30.90,568
3926.90.79,568
2008.80.00,567
0207.27.90,567
6207.22.10,567
2104.20.00,566
2005.99.70,564
6212.30.00,564
8703.90.69,564
8413.92.00,563
3919.90.30,563
3824.99.40,562
8519.81.13,562
7013.99.19,562
8517.61.29,561
7324.29.00,560
9020.00.90,560
8202.91.90,559
8523.29.29,559
4823.70.90,559
9018.90.20,558
0809.30.00,558
3901.90.00,558
8504.33.00,557
3006.30.10,557
6507.00.00,556
3302.10.99,556
2804.30.00,556
8536.10.29,555
9405.50.40,555
1006.30.10,555
6404.20.92,555
8452.90.00,554
0904.22.00,553
7308.90.30,553
9405.91.90,553
3909.50.00,552
7323.99.10,551
9404.30.00,551
8482.91.00,550
6115.22.90,549
9016.00.00,547
8441.10.00,547
9402.90.19,547
8539.90.90,546
1107.20.10,545
8202.20.90,544
6506.91.30,544
9031.90.90,542
8311.10.10,542
4010.19.00,542
3404.90.90,541
8525.50.90,540
4811.90.43,540
7116.20.00,540
4808.90.00,539
3604.10.00,539
0603.19.30,538
6103.22.00,538
3006.50.00,538
9030.10.00,538
4008.29.90,538
8423.82.90,538
9504.30.00,538
6305.33.00,538
6910.10.19,537
9506.39.00,536
2106.90.50,536
9209.94.00,535
3405.20.00,535
6104.23.00,534
6203.41.24,534
8415.20.00,534
2208.50.00,533
9506.51.00,533
0906.19.00,533
3209.10.29,532
0708.10.00,532
2008.99.23,532
2505.10.00,532
5702.32.90,531
8703.24.91,531
3307.90.10,530
2501.00.30,530
2106.90.12,529
6602.00.00,529
6805.20.10,529
8424.10.10,528
7321.90.10,528
9106.90.90,527
9015.80.10,527
8711.90.00,527
8536.49.00,526
2104.10.99,526
8418.21.90,526
6207.22.20,525
8215.91.00,524
6802.23.19,523
4816.90.90,523
6402.99.21,522
8515.39.90,522
3808.99.99,522
2101.20.90,520
6505.00.10,519
4823.90.91,519
9018.39.10,518
4407.10.29,517
7217.20.19,516
3002.20.00,516
2202.90.11,515
3214.10.90,515
8207.70.00,515
8302.49.10,515
7320.10.00,515
0712.20.90,513
8701.90.10,512
2929.10.00,511
8708.99.10,511
2501.00.40,511
8702.10.10,511
6704.20.00,511
6204.13.29,511
8542.39.30,510
6402.99.97,509
6203.29.10,508
8535.90.90,508
4803.00.20,508
4202.91.99,507
9005.10.00,507
3203.00.00,506
5407.41.90,506
8703.23.97,506
9603.40.30,505
9603.90.70,505
0206.49.90,504
8703.24.93,504
9402.90.99,504
5903.10.00,503
8505.11.00,501
3306.90.90,499
5609.00.20,499
8431.41.00,498
8714.92.90,498
0904.11.10,498
6116.99.00,498
6402.91.20,497
8528.61.00,497
6304.99.10,496
6802.23.11,496
8311.20.00,495
8711.50.00,494
5607.49.00,493
2004.90.99,493
9005.80.00,492
3824.78.00,491
6104.29.90,491
7210.70.90,491
6404.11.20,490
9202.90.90,489
6908.90.99,489
8711.40.00,488
6107.19.20,487
8504.32.00,486
7307.21.00,486
8428.20.00,486
4006.90.10,485
4015.11.00,485
7315.19.00,485
3919.90.10,485
3926.90.81,484
4410.11.20,484
3307.30.00,483
7604.10.22,482
8412.39.00,481
8716.90.10,479
8527.12.90,478
8436.91.00,478
4814.90.10,478
8511.40.90,478
8519.89.90,477
1805.00.00,477
5703.30.10,477
8501.33.00,477
8502.13.00,476
9802.00.20,476
3824.99.10,475
7204.30.00,475
1602.31.19,474
3811.19.00,474
6203.43.23,474
8414.90.10,473
0813.20.00,473
1211.90.21,472
9405.10.20,472
8542.31.20,471
1108.12.00,471
9113.90.90,471
2103.90.22,471
3907.30.00,470
6207.99.29,470
8704.23.00,468
7007.21.90,468
4016.99.29,465
4009.21.00,464
6204.62.12,464
9018.31.10,464
5512.99.00,463
4806.10.90,463
3403.19.10,463
3401.11.30,463
2710.12.93,462
6204.22.26,462
6913.90.99,462
8516.33.00,462
8544.49.40,461
9015.90.10,461
8714.93.00,460
3921.12.90,460
6302.10.00,460
6404.19.32,460
2839.90.90,459
8512.10.00,459
8467.91.00,458
6103.32.00,458
3204.17.90,457
2836.50.00,456
6404.20.95,456
8714.96.00,455
9032.89.21,455
9017.80.10,455
1212.21.00,454
0805.10.00,454
8541.10.00,454
2208.90.44,453
8309.90.40,452
5702.49.20,451
9031.80.20,451
5407.93.00,450
8211.94.00,450
5702.42.90,450
9506.62.10,450
8544.19.00,450
5608.90.20,449
4910.00.30,447
8208.10.00,447
4818.30.20,447
8207.19.90,446
9001.90.00,446
8528.59.19,446
8539.32.00,446
7326.90.70,446
6204.52.30,445
8523.52.90,444
8467.92.00,444
9404.10.00,444
8465.99.00,443
8530.80.00,443
3105.59.00,443
8536.30.00,442
6204.12.29,441
4909.00.29,441
9030.32.00,440
8443.32.21,440
9105.21.00,439
1604.20.20,439
8202.31.90,438
9507.10.00,438
6107.11.10,438
3604.90.00,438
7010.90.92,437
8511.50.90,437
8201.30.10,437
9405.99.39,437
4412.31.90,436
3402.19.29,436
4911.10.11,436
8703.60.00,435
0709.20.00,435
1701.99.90,435
0402.91.99,435
8429.40.00,435
7005.21.19,435
6117.80.10,434
6207.29.00,433
5603.14.00,433
3006.30.20,432
9025.90.00,432
7321.11.20,432
8523.29.36,432
4203.40.00,431
2005.99.32,430
6204.21.19,430
6204.29.11,430
8437.90.00,429
0709.40.00,429
8703.21.21,429
6601.91.90,429
8504.50.00,429
0809.40.00,428
7607.19.90,428
8544.60.10,428
8523.49.32,427
8536.70.10,427
5808.90.90,427
8311.30.00,427
3923.21.10,427
2201.10.90,426
7408.19.90,426
1102.20.90,425
4809.90.90,425
4010.32.00,424
6309.00.10,423
2009.79.20,422
6102.10.10,422
1102.90.20,422
6207.11.10,422
2710.19.10,421
0709.91.00,421
6202.11.00,421
0402.21.91,421
9405.20.39,420
4420.90.19,420
9607.19.00,420
4013.90.90,419
4802.57.30,419
2903.39.33,419
9507.20.00,419
9603.90.92,419
8523.21.20,418
8501.51.00,418
3918.10.10,418
4820.10.49,417
6306.19.90,416
3915.90.00,415
3901.10.00,414
8440.10.00,414
6812.91.20,414
4802.58.41,414
6214.20.00,413
8542.39.19,413
2101.12.20,413
5603.94.00,412
4820.10.10,412
9604.00.12,411
8421.91.00,411
8203.20.10,411
8305.10.00,410
6107.29.00,408
2106.90.20,408
8425.11.90,408
2008.99.40,407
0802.32.00,407
8431.10.90,406
7019.39.90,405
8305.20.10,405
8413.11.00,405
4808.10.00,405
5910.00.00,404
9105.99.00,403
3401.20.30,403
7610.90.10,403
9405.50.39,402
6114.90.00,402
3903.11.00,400
3901.20.00,400
8464.90.00,400
6204.19.21,399
6401.99.20,399
3301.90.31,399
2006.00.00,399
8415.82.90,398
7323.10.10,398
6204.29.22,398
8470.90.00,398
8703.32.99,398
4421.10.00,397
4010.36.00,397
8547.10.00,397
0203.22.00,397
2208.90.43,397
9508.90.00,396
7412.10.00,396
0706.90.00,396
7610.90.50,396
8714.94.00,396
8523.80.99,394
9603.90.19,394
6307.90.30,394
5702.92.40,394
0810.40.00,393
0710.30.00,393
1206.00.90,393
1604.11.00,393
1604.20.94,393
2715.00.90,393
7321.89.90,392
9603.50.90,392
5806.20.00,392
4823.69.10,391
8211.95.90,391
8207.19.10,391
6813.81.00,391
2102.10.90,390
6210.10.90,390
6305.90.00,390
7010.90.99,388
6116.92.00,388
4015.19.90,388
7610.10.90,388
6815.10.00,387
7006.00.00,387
8608.00.00,387
7310.10.90,387
2009.49.00,386
0207.14.11,386
8703.23.20,385
6203.33.10,385
3916.20.90,384
8465.93.00,384
6203.41.22,384
8716.90.20,384
8462.29.00,384
5911.90.20,383
8515.19.00,383
6403.51.60,383
2106.90.92,382
0602.90.90,381
8309.10.00,381
7307.11.00,381
1005.90.20,380
4017.00.21,380
6207.21.00,380
9609.20.00,380
8487.10.00,379
4303.90.20,378
4008.19.90,378
1602.41.90,378
3004.10.20,378
7306.19.00,377
6217.10.31,377
2309.90.91,377
2009.89.31,375
4419.00.99,375
8711.60.00,373
7118.90.00,373
9506.69.90,373
7210.49.90,373
0105.11.00,372
6203.41.13,372
5909.00.00,372
8713.10.00,371
6402.91.93,369
9506.40.90,369
3926.90.71,369
0713.33.90,368
8544.49.13,368
0405.90.10,368
7413.00.90,367
8709.90.90,367
8703.10.21,366
4013.90.30,365
6406.90.99,365
7217.90.00,365
1901.10.30,364
9405.40.10,364
2005.99.12,364
9304.00.00,364
0406.20.10,364
7011.90.00,363
3003.20.10,363
8536.20.00,363
6203.39.10,363
4202.32.10,363
3004.90.92,363
4811.90.99,363
2710.19.91,362
8714.95.00,361
6403.91.92,361
1103.11.00,361
2710.99.10,360
1006.10.90,360
0604.90.90,360
7319.90.90,360
6807.10.90,360
4911.91.40,360
4114.10.00,359
3302.10.19,359
4820.40.00,358
3809.10.00,358
7116.10.00,357
3006.70.00,357
7005.29.19,357
9615.90.10,356
5407.20.00,356
4801.00.10,356
7018.20.00,356
7907.00.62,355
5212.15.00,355
8473.50.00,355
4421.91.99,355
5702.42.30,355
6306.90.90,354
9403.20.12,354
0804.50.10,354
0709.99.20,354
8703.90.61,354
2009.89.99,354
3407.00.90,353
8466.91.00,353
9402.90.92,353
4202.99.22,353
6810.91.00,353
6307.10.10,352
7323.92.90,352
9014.10.90,351
9503.00.50,351
7008.00.90,351
2205.10.19,350
2009.90.12,348
2009.29.90,348
4817.20.00,347
9011.80.00,346
6811.40.10,346
5407.44.00,345
9113.90.20,345
6103.23.00,345
8465.91.00,345
3606.10.00,345
4820.10.41,344
0807.19.00,344
9021.10.10,344
0713.10.90,344
6905.10.00,344
8474.31.90,344
8711.30.10,343
2007.91.00,342
3507.90.29,342
3707.90.99,342
8519.81.12,342
2001.90.90,342
7411.10.00,341
0904.11.90,341
4602.11.00,341
6106.20.20,340
2101.20.10,339
8205.90.19,339
8419.20.00,339
8473.29.00,339
9030.90.90,338
9406.90.59,338
8419.11.90,338
8460.90.00,338
4909.00.40,338
0714.20.00,338
8516.90.90,338
0603.19.60,337
4802.69.30,337
3810.10.00,337
7010.90.29,336
6117.80.92,336
0804.20.00,336
9608.50.00,335
4202.92.39,335
9113.90.10,335
0307.49.99,335
9608.40.00,334
9401.90.10,334
8528.52.11,333
3405.90.20,333
8424.89.10,333
7009.92.20,332
8468.80.00,332
8512.90.00,331
0403.90.11,331
3402.20.19,331
6203.43.13,331
8425.41.00,330
8432.90.90,330
0708.20.00,330
3305.90.12,329
6303.91.00,329
7013.33.00,329
2008.40.00,329
4816.20.90,328
8207.60.00,328
8418.91.00,328
6209.90.10,327
8479.89.30,326
7606.11.90,326
4415.10.90,326
6806.90.00,326
3402.90.30,326
5702.42.20,325
3402.19.90,325
3204.90.00,325
6103.29.90,324
6305.10.00,324
2710.19.92,324
5608.19.20,324
4804.31.90,324
2007.99.10,323
0909.22.00,323
9205.10.00,323
8424.82.90,322
5703.90.99,322
3101.00.00,322
6806.10.00,322
7604.29.10,321
8507.30.00,321
3925.30.39,321
6104.61.00,321
3305.90.11,320
2004.90.81,320
8425.39.90,320
1208.90.40,320
3006.20.00,320
7418.10.90,320
2005.60.00,320
6908.90.19,320
8714.10.10,319
2209.00.10,319
6108.11.00,318
6104.39.00,317
3102.10.00,317
8527.99.00,317
3816.00.00,316
8417.90.20,316
3407.00.20,316
8533.29.00,315
8507.90.90,314
3401.20.10,313
2304.00.10,313
8703.32.92,313
9612.10.00,313
2205.10.40,313
0805.40.10,312
5807.10.90,312
8703.24.92,312
7317.00.11,312
8421.19.90,312
7319.40.10,312
9402.10.00,311
6207.91.90,311
3815.90.90,311
7325.99.10,310
3213.90.10,310
8527.19.00,310
5804.29.00,310
1301.90.90,310
3302.90.20,310
0404.90.10,310
8516.29.00,309
4418.79.00,309
6301.20.00,309
5702.99.20,308
8907.90.10,308
8461.50.00,307
2204.30.00,307
8535.40.10,307
8527.21.00,307
0901.22.00,306
9608.60.00,306
1902.40.00,306
0402.29.92,306
8442.30.90,305
8208.40.00,305
3823.19.10,305
4901.91.00,304
2710.20.00,304
9006.69.90,304
1704.90.20,304
4008.21.90,304
8422.19.00,304
8424.90.91,304
3301.29.90,303
6403.59.92,303
4911.91.90,303
8205.51.20,303
2208.20.90,302
7304.29.00,302
6109.10.10,302
9113.20.00,302
9006.99.00,301
0910.91.20,300
4819.30.11,300
4504.90.90,300
6204.23.22,300
9013.80.10,300
6601.91.10,300
3208.20.11,300
3402.11.90,299
6309.00.00,299
4820.30.32,298
3208.10.11,298
8544.20.90,298
4811.90.29,298
8429.11.00,297
8708.30.10,297
7317.00.20,297
2104.10.29,297
6108.19.00,296
7313.00.90,296
7013.22.00,296
0406.90.11,296
6115.30.00,295
7310.21.90,295
3921.90.91,295
4011.62.90,295
9606.29.00,294
1806.31.90,294
8803.90.00,293
8205.59.10,292
4011.70.90,292
8527.92.90,292
9507.30.00,292
3907.20.00,292
5406.00.10,291
8501.53.00,291
2941.90.00,291
6204.41.29,291
3921.13.20,291
9406.90.20,291
3907.99.90,290
7005.10.19,290
3212.90.29,290
8532.22.00,290
2104.10.91,290
7304.90.00,289
2523.90.00,289
8463.90.00,289
8508.19.20,288
8704.90.00,288
2009.90.19,288
8525.50.20,288
8544.11.00,288
1207.40.90,288
8705.40.00,288
8707.10.00,288
5702.92.90,288
0306.14.90,288
4823.90.96,288
3002.90.90,287
6204.22.22,287
4009.11.00,287
4802.20.90,286
8434.90.00,286
0910.30.00,286
1901.20.91,286
7314.20.20,286
2101.11.90,286
8701.93.10,286
6310.90.90,285
2009.90.21,285
7307.91.00,285
2001.90.20,285
8468.10.00,285
1211.90.20,285
5401.10.10,285
7018.10.00,285
6304.91.90,285
3921.11.90,283
9029.10.10,283
1702.90.50,283
8502.39.00,283
2839.19.00,283
1512.19.00,283
9028.20.00,283
6103.41.00,283
7216.33.00,283
9029.90.00,283
8523.49.19,282
0709.93.00,281
9506.61.00,280
6302.59.10,280
0603.13.00,280
9201.90.00,280
9103.10.00,280
8424.90.10,280
9209.99.99,280
8907.10.00,279
4419.19.90,279
8523.59.90,279
5806.10.90,279
7316.00.00,279
4823.40.90,279
3810.90.00,279
8708.50.10,279
9405.10.10,278
7608.10.90,278
6403.91.93,278
0910.99.30,278
7610.10.10,277
6307.90.22,277
6204.31.00,277
4202.39.90,277
9024.80.00,276
6406.20.00,276
7607.20.10,276
0603.19.70,276
3920.30.90,276
0708.90.00,276
3307.10.90,275
6204.22.11,275
1602.49.19,274
8442.40.00,274
8480.60.00,273
7315.89.90,273
5901.90.00,273
5810.99.90,273
7010.90.32,272
0713.33.30,272
6204.22.23,272
4010.33.00,271
3917.10.90,271
8419.39.00,271
6802.91.19,271
9401.40.00,270
0910.99.00,270
0704.20.00,270
6304.93.10,269
7907.00.93,269
9102.12.00,269
8501.31.20,269
9503.00.20,269
4010.11.00,268
0304.81.00,268
9002.90.90,268
6402.99.32,268
8477.80.00,268
8705.10.00,267
3923.30.10,266
4910.00.20,266
6208.91.11,266
7319.40.90,266
8436.80.90,266
2008.19.29,265
7308.20.00,265
2520.20.00,265
7314.19.90,265
4008.29.20,265
8532.90.00,264
1702.90.29,264
4417.00.19,264
9003.90.00,264
8508.11.20,263
3923.10.40,263
4008.29.11,262
4802.54.91,261
2001.90.70,261
4202.91.22,260
3923.29.20,260
8309.90.10,260
2202.99.40,259
9008.50.10,259
9108.90.00,259
0209.10.10,259
2005.99.19,259
7606.91.90,258
9014.80.90,258
7315.90.00,258
1901.10.20,257
8532.10.00,257
6204.23.24,257
7321.90.00,257
3916.90.10,256
8202.91.00,255
1602.49.11,255
8714.99.10,255
8528.49.19,255
8306.10.00,254
5607.29.00,254
8418.29.90,254
7413.00.10,254
7314.14.90,253
8436.99.00,253
0207.25.00,253
8527.13.00,252
6206.20.10,252
3923.29.30,252
9014.20.00,252
8476.90.00,252
2836.30.00,251
3921.90.10,251
4203.10.10,251
6305.39.00,250
6115.29.90,250
8706.00.90,250
7013.37.10,249
6302.31.40,249
8305.90.00,248
6402.99.93,247
8409.10.00,247
2710.12.14,247
4006.90.20,247
9602.00.90,247
9006.61.00,247
6802.29.90,247
6212.90.20,246
9021.31.00,246
3212.90.19,246
4013.10.00,246
3813.00.00,245
1702.30.90,245
7314.39.90,245
8417.20.90,245
0811.90.21,245
0909.32.00,245
7304.24.00,244
0304.62.00,244
6804.23.00,244
6204.69.22,243
8510.90.90,243
3922.10.19,243
3923.21.20,243
9014.80.11,243
3824.90.40,243
8514.10.90,242
3307.10.22,242
9608.30.90,242
9603.90.30,241
0209.90.00,241
9018.11.00,241
9027.30.00,241
9007.20.00,241
8424.81.90,241
0713.90.90,240
9401.10.20,239
6101.90.20,239
4802.69.50,238
3920.30.10,238
4902.10.99,237
4011.80.11,237
6203.31.10,237
4902.90.10,237
7308.10.00,237
4911.91.30,236
2712.10.00,236
4811.90.44,236
4602.12.00,236
9405.40.49,235
0402.10.93,235
8703.24.96,235
8527.13.10,235
3402.90.29,235
3403.99.90,235
6104.44.20,235
8509.80.12,234
3808.94.20,234
4809.20.10,234
6401.99.10,234
0207.26.90,234
7010.90.39,233
7323.94.00,233
8301.50.00,233
4014.10.00,233
8480.79.00,233
4010.12.00,232
9405.92.90,232
7303.00.00,232
5602.10.00,231
8504.22.00,231
0201.10.00,231
1604.20.99,231
4802.58.91,231
4823.90.10,231
4011.99.00,231
3920.61.00,231
8539.22.10,230
7214.99.11,230
7304.39.00,229
2835.26.00,229
8470.21.00,229
7616.99.39,229
4822.90.90,229
6302.59.00,229
8541.29.00,228
7615.10.95,228
9506.19.00,228
4820.30.31,228
8701.94.10,227
3824.90.10,227
3916.10.90,227
8903.99.10,227
8529.90.19,227
5602.29.00,227
6907.90.00,227
1211.90.91,226
8704.22.20,226
3923.30.20,226
7325.10.00,226
8302.41.20,226
9507.90.20,226
8413.81.10,225
4420.10.90,224
0713.39.90,224
0805.21.00,224
0712.90.10,223
6204.21.23,223
3921.11.10,223
7013.42.00,223
9619.00.90,223
8535.40.30,223
6005.37.00,223
9608.99.90,223
8539.31.10,222
5401.10.20,222
8502.40.00,222
8541.90.00,222
1209.99.00,222
0910.20.20,222
8428.33.00,222
6201.11.00,221
5515.19.00,221
5703.10.00,221
0910.99.20,221
4017.00.22,220
7005.10.90,220
8436.29.00,220
8702.90.90,220
7613.00.90,220
4012.90.20,220
